"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8390500470672","98.9273790467712","94.3618947599614","101.477220813964","101.884315204679","102.270180954884","99.6373863543104","97.3619261633729","92.975254565907","100.089496828191","99.1289604327464","89.5515718975749","84.0663324839962","86.9237014893768","86.7137545827262","85.2550104503779","85.172907280758","83.5996961808589","83.1499143397405","84.2829151857068","79.2935950627096","79.3750175405605","75.2750469946948","72.3149947857541","73.5295293637883","70.5930516435836","72.2439474915825","","","","","",
"Afganistán","AFG","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","30.9734513274336","35.8208955223881","43.0851063829787","37.3056994818653","35.8078602620087","37.8181818181818","39.261744966443","31.1428571428571","27.2455089820359","38.5214007782101","26.0964912280702","18.9555125725338","12.4401913875598","19.0156599552573","15.8699808795411","18.7931034482759","21.4022140221402","18.8650306748466","26.6553480475382","15.7119476268412","17.9166666666667","16.8207024029575","18.3246073298429","15.2616279069767","13.860103626943","11.3897596656217","13.5355892648775","14.2018779342723","12.7877237851662","12.1532364597094","9.41527027027027","9.10058394160584","1.5386013986014","1.34816176470588","1.12830769230769","1.17344","0.621525423728813","0.333363636363636","0.349238095238095","0.447195121951219","0.476233766233766","8.6016049382716","5.00045454545455","6.79074074074074","8.11283185840708","6.48432926829268","8.31690721649485","31.6977966101695","24.5580410022779","25.6078833333333","26.5191349480969","35.1146655791191","35.0909090909091","46.322267920094","56.0614340588989","49.7500375469337","65.35100135318","","","","","",
"","AFW","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.429969632864269","0.412949481492637","0.300608409124994","0.231318731549635","0.288221396058204","0.269390051659566","0.220273317726962","0.200073841147154","0.228855341991471","0.214620277037763","0.167015025317094","0.165278247561551","0.473661706455289","0.416175587599966","0.49467399679119","0.418032959723528","0.492061737063413","0.697608257584798","0.629653141204688","0.761092720627282","0.668726701311129","0.809913642075595","0.743631281562938","0.678391987482715","0.92367311410857","1.01162419059846","1.24907895748485","","","","","",
"Angola","AGO","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","22.6666666666667","13.7096774193548","7.7639751552795","1.91082802547771","6.2874251497006","4.62962962962963","5.66037735849057","5.53505535055351","6.14035087719298","3.28947368421053","1.33060388945752","0.860215053763441","0.16273393002441","0.450788880540947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Albania","ALB","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","16.1231884057971","14.1479099678457","14.7321428571429","13.556338028169","16.5454545454545","18.212478920742","18.6781609195402","19.562243502052","19.2124105011933","21.2429378531073","23.8001958863859","22.7464195450716","19.1682910981157","22.1067221067221","27.8481012658228","27.4541101356744","25.7037037037037","29.7435897435897","32.7498588368154","35.3794103431609","44.9645390070922","36.0639360639361","39.4380331159057","40.7015857760692","43.4864104967198","47.2778036295952","46.0628129267183","50.1970443349754","54.8548548548548","45.1836734693878","41.3370909090909","36.0454501216545","35.6877678571429","29.0525603864734","7.88233644859813","8.27425641025641","5.77040609137056","2.97324324324324","3.05583333333333","3.7040404040404","2.19788643533123","2.50540372670807","2.24909333333333","2.05209245742092","1.96599067599068","1.8019656019656","1.81086419753086","1.73791469194313","2.46225419664269","8.99773148148148","9.36766375545852","10.6226587301587","13.6912008733624","11.4832985386221","13.4175670498084","4.48429980276134","0.297525354969574","","","","","",
"Andorra","AND","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"El mundo árabe","ARB","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.67904126957232","1.65417914346301","1.36619378767954","1.43359011034962","1.51728704007543","1.42164468205859","1.64406675995582","1.45152603772423","1.59852494184009","1.532335066004","1.70323921800773","1.86661270282164","1.92433087277677","1.80795040303996","1.7693046204333","1.73286786891474","1.74791023294764","1.67488484266757","1.55128116648746","1.30075519946184","1.42155773487922","1.07167776975695","1.21756674940763","1.28603144021491","1.51956636635667","1.45000107362961","1.40818134657845","","","","","",
"Emiratos Árabes Unidos","ARE","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0723800124662373","0.366251528740318","0.407326378827393","0.433451536643026","0.473039215686274","0.878558373126955","0.389839775229706","0.882709346991037","0.662570301565085","1.52247389755558","1.00758718133718","2.98401525066864","3.64508962520369","4.07111999564839","3.35064471243043","3.50227363882483","","","","","",
"Argentina","ARG","Emisiones de CO2 procedentes del consumo de combustibles sólidos (% del total)","EN.ATM.CO2E.SF.ZS","8.0078125","6.92125815003224","3.74240251314621","4.60535949626593","4.59301177864052","4.42284931165514","4.10036008827971","4.48696430569542","3.42905674398853","3.35261760242792","3.97571137310522","3.29430197080894","3.17253721630196","3.064088570092","3.52620673777914","3.78940049443758","3.24856680876084","2.68500327439424","3.73704894605216","3.2561529033754","2.63716993221596","2.90006109174543","2.57410296411856","2.0842046563502","2.01728114565045","2.75945029708745","3.25838347584363","3.28920082947839","3.31461691722514","3.54201246437631","3.07787059294872","2.55561906570452","2.61318584070796","2.07410249482122","3.13181969949916","3.2542570951586","2.45123419721871","2.18314954445492","2.13405797101449","1.60682316118936","1.25652641952847","1.03370225034035","0.936494424108283","1.55124727329386","1.55107507930913","2.23548660470202","2.48998197850293","2.23879056407749","2.30727683615819","2.05430259146341","2.37502260021411","2.66657057429764","2.80781325267462","2.30183967391304","2.32155688955589","2.15381320866248","1.63371337095724","","","","","",
